Pokemon,AllMountTypes,RidingStyles,Seats,MountType,RidingStyle,SPEED_Min,SPEED_Max,ACCELERATION_Min,ACCELERATION_Max,SKILL_Min,SKILL_Max,JUMP_Min,JUMP_Max,STAMINA_Min,STAMINA_Max,Source,Path
stonjourner,LAND,horse,1,LAND,horse,15,30,20,35,20,40,5,15,60,90,JourneyMounts,data/cobblemon/species_additions/generation8/stonjourner.json
stoutland,LAND,horse,1,LAND,horse,25,50,25,45,35,60,20,35,50,80,JourneyMounts,data/cobblemon/species_additions/generation5/stoutland.json
suicune,LAND,horse,1,LAND,horse,80,100,70,90,20,50,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/suicune.json
swampert,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,35,65,35,65,45,75,25,45,45,80,JourneyMounts,data/cobblemon/species_additions/generation3/swampert.json
swampert,"LAND, LIQUID","horse, dolphin",1,LAND,horse,35,65,35,65,40,70,30,55,40,75,JourneyMounts,data/cobblemon/species_additions/generation3/swampert.json
swanna,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LIQUID,dolphin,25,50,25,50,40,70,30,55,35,70,JourneyMounts,data/cobblemon/species_additions/generation5/swanna.json
swanna,"AIR, LAND, LIQUID","bird, horse, dolphin",1,AIR,bird,30,55,30,55,40,70,35,60,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/swanna.json
swanna,"AIR, LAND, LIQUID","bird, horse, dolphin",1,LAND,horse,30,55,30,55,40,70,35,60,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/swanna.json
swellow,"AIR, LAND","bird, horse",1,AIR,bird,35,65,40,70,45,75,30,55,25,50,JourneyMounts,data/cobblemon/species_additions/generation3/swellow.json
swellow,"AIR, LAND","bird, horse",1,LAND,horse,15,30,15,35,25,40,15,30,20,40,JourneyMounts,data/cobblemon/species_additions/generation3/swellow.json
swoobat,"AIR, LAND","bird, horse",1,AIR,bird,35,60,35,60,45,70,35,60,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/swoobat.json
swoobat,"AIR, LAND","bird, horse",1,LAND,horse,20,40,20,40,25,45,20,35,25,45,JourneyMounts,data/cobblemon/species_additions/generation5/swoobat.json
talonflame,"AIR, LAND","bird, horse",1,AIR,bird,45,85,50,80,55,85,35,65,35,65,JourneyMounts,data/cobblemon/species_additions/generation6/talonflame.json
talonflame,"AIR, LAND","bird, horse",1,LAND,horse,25,45,35,55,20,40,15,30,20,35,JourneyMounts,data/cobblemon/species_additions/generation6/talonflame.json
tangrowth,LAND,horse,1,LAND,horse,15,30,15,30,35,60,10,25,45,80,JourneyMounts,data/cobblemon/species_additions/generation4/tangrowth.json
tauros,LAND,horse,1,LAND,horse,55,75,15,50,15,30,25,35,35,55,Cobblemon-Fabric,data/cobblemon/species/generation1/tauros.json
tentacruel,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,60,40,65,45,75,25,55,40,80,JourneyMounts,data/cobblemon/species_additions/generation1/tentacruel.json
tentacruel,"LAND, LIQUID","horse, dolphin",1,LAND,horse,5,20,5,20,20,40,0,5,30,60,JourneyMounts,data/cobblemon/species_additions/generation1/tentacruel.json
terrakion,LAND,horse,1,LAND,horse,85,100,35,50,35,55,30,45,70,95,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/terrakion.json
thievul,LAND,horse,1,LAND,horse,40,60,35,55,45,70,20,35,30,55,JourneyMounts,data/cobblemon/species_additions/generation8/thievul.json
tinglu,LAND,horse,1,LAND,horse,60,85,55,80,35,55,30,50,35,55,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/tinglu.json
toedscruel,LAND,horse,1,LAND,horse,30,55,20,40,30,60,15,30,35,65,JourneyMounts,data/cobblemon/species_additions/generation9/toedscruel.json
togekiss,"AIR, LAND","jet, horse",1,AIR,jet,80,95,60,80,90,115,10,20,70,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/togekiss.json
togekiss,"AIR, LAND","jet, horse",1,LAND,horse,10,25,10,30,80,100,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/togekiss.json
torkoal,LAND,horse,1,LAND,horse,10,25,10,25,30,55,10,20,50,90,JourneyMounts,data/cobblemon/species_additions/generation3/torkoal.json
torterra,LAND,horse,1,LAND,horse,15,35,15,35,35,60,15,30,55,90,JourneyMounts,data/cobblemon/species_additions/generation4/torterra.json
toucannon,"AIR, LAND","bird, horse",1,AIR,bird,30,55,35,60,45,70,30,55,25,55,JourneyMounts,data/cobblemon/species_additions/generation7/toucannon.json
toucannon,"AIR, LAND","bird, horse",1,LAND,horse,20,35,20,40,10,25,10,25,20,35,JourneyMounts,data/cobblemon/species_additions/generation7/toucannon.json
toxapex,LIQUID,submarine,1,LIQUID,submarine,10,25,20,35,45,70,10,20,50,90,JourneyMounts,data/cobblemon/species_additions/generation7/toxapex.json
trevenant,LAND,horse,1,LAND,horse,20,35,25,45,45,75,10,25,40,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/trevenant.json
tropius,"AIR, LAND","bird, horse",2,AIR,bird,20,45,20,45,20,40,70,90,55,80,Cobblemon-Fabric,data/cobblemon/species/generation3/tropius.json
tropius,"AIR, LAND","bird, horse",2,LAND,horse,15,25,30,50,30,50,10,20,55,85,Cobblemon-Fabric,data/cobblemon/species/generation3/tropius.json
turtonator,LAND,horse,1,LAND,horse,15,30,20,40,25,45,5,15,55,85,JourneyMounts,data/cobblemon/species_additions/generation7/turtonator.json
typhlosion,LAND,horse,1,LAND,horse,40,60,45,70,25,45,25,40,35,60,JourneyMounts,data/cobblemon/species_additions/generation2/typhlosion.json
tyranitar,LAND,horse,1,LAND,horse,20,35,30,55,40,60,15,30,70,100,JourneyMounts,data/cobblemon/species_additions/generation2/tyranitar.json
tyrantrum,LAND,horse,2,LAND,horse,20,30,50,70,40,60,40,55,70,100,Cobblemon-Fabric,data/cobblemon/species/generation6/tyrantrum.json
umbreon,LAND,horse,1,LAND,horse,25,50,25,45,40,65,15,25,45,70,JourneyMounts,data/cobblemon/species_additions/generation2/umbreon.json
unfezant,"AIR, LAND","bird, horse",1,AIR,bird,35,60,35,60,45,70,35,60,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/unfezant.json
unfezant,"AIR, LAND","bird, horse",1,LAND,horse,20,40,20,40,25,45,20,35,25,45,JourneyMounts,data/cobblemon/species_additions/generation5/unfezant.json
ursaluna,LAND,horse,2,LAND,horse,40,65,30,40,10,25,25,35,65,85,Cobblemon-Fabric,data/cobblemon/species/generation8a/ursaluna.json
ursaring,LAND,horse,1,LAND,horse,30,40,45,80,20,45,25,40,30,65,Cobblemon-Fabric,data/cobblemon/species/generation2/ursaring.json
vaporeon,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,60,30,55,40,70,20,40,35,65,JourneyMounts,data/cobblemon/species_additions/generation1/vaporeon.json
vaporeon,"LAND, LIQUID","horse, dolphin",1,LAND,horse,20,45,25,50,35,60,20,35,30,60,JourneyMounts,data/cobblemon/species_additions/generation1/vaporeon.json
veluza,LIQUID,dolphin,1,LIQUID,dolphin,45,75,50,80,40,70,20,40,35,70,JourneyMounts,data/cobblemon/species_additions/generation9/veluza.json
venusaur,LAND,horse,1,LAND,horse,30,55,40,75,10,40,40,60,45,85,Cobblemon-Fabric,data/cobblemon/species/generation1/venusaur.json
victreebel,LAND,horse,1,LAND,horse,20,32,25,40,30,45,10,20,55,85,JourneyMounts,data/cobblemon/species_additions/generation1/victreebel.json
vileplume,LAND,horse,1,LAND,horse,30,50,45,70,30,55,30,45,45,75,JourneyMounts,data/cobblemon/species_additions/generation1/vileplume.json
virizion,LAND,horse,1,LAND,horse,95,105,55,80,45,70,25,45,35,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/virizion.json
volcanion,LAND,horse,1,LAND,horse,20,40,30,60,20,50,30,65,60,105,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/volcanion.json
volcarona,"AIR, LAND","bird, horse",1,AIR,bird,30,50,45,65,55,75,25,35,65,90,Cobblemon-Fabric,data/cobblemon/species/generation5/volcarona.json
volcarona,"AIR, LAND","bird, horse",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation5/volcarona.json
wailmer,"LAND, LIQUID","horse, submarine",1,LIQUID,submarine,30,50,30,55,30,55,25,40,40,85,Cobblemon-Fabric,data/cobblemon/species/generation3/wailmer.json
wailmer,"LAND, LIQUID","horse, submarine",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation3/wailmer.json
wailord,"LAND, LIQUID","horse, submarine",19,LIQUID,submarine,20,40,20,45,30,55,40,55,65,100,Cobblemon-Fabric,data/cobblemon/species/generation3/wailord.json
wailord,"LAND, LIQUID","horse, submarine",19,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation3/wailord.json
walkingwake,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,45,75,40,70,35,60,30,55,45,75,JourneyMounts,data/cobblemon/species_additions/generation9/walkingwake.json
walkingwake,"LAND, LIQUID","horse, dolphin",1,LAND,horse,35,60,35,60,25,45,25,45,40,70,JourneyMounts,data/cobblemon/species_additions/generation9/walkingwake.json
walrein,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,60,30,55,45,75,25,40,50,90,JourneyMounts,data/cobblemon/species_additions/generation3/walrein.json
walrein,"LAND, LIQUID","horse, dolphin",1,LAND,horse,10,25,15,35,30,55,10,20,40,80,JourneyMounts,data/cobblemon/species_additions/generation3/walrein.json
whiscash,LIQUID,dolphin,1,LIQUID,dolphin,25,55,25,50,35,65,20,40,40,75,JourneyMounts,data/cobblemon/species_additions/generation3/whiscash.json
wigglytuff,LAND,horse,1,LAND,horse,10,25,0,15,0,5,40,60,20,40,JourneyMounts,data/cobblemon/species_additions/generation1/wigglytuff.json
wobbuffet,LAND,horse,1,LAND,horse,5,25,5,25,20,35,0,10,45,75,JourneyMounts,data/cobblemon/species_additions/generation2/wobbuffet.json
wyrdeer,LAND,horse,1,LAND,horse,45,65,60,80,40,60,45,55,55,70,Cobblemon-Fabric,data/cobblemon/species/generation8a/wyrdeer.json
xatu,"AIR, LAND","bird, horse",1,AIR,bird,25,50,25,45,45,70,30,55,35,65,JourneyMounts,data/cobblemon/species_additions/generation2/xatu.json
xatu,"AIR, LAND","bird, horse",1,LAND,horse,10,25,10,30,30,50,10,25,25,45,JourneyMounts,data/cobblemon/species_additions/generation2/xatu.json
xerneas,LAND,horse,1,LAND,horse,80,100,70,90,20,50,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/xerneas.json
yanmega,"AIR, LAND","bird, horse",1,AIR,bird,35,70,45,75,55,80,30,55,35,65,JourneyMounts,data/cobblemon/species_additions/generation4/yanmega.json
yanmega,"AIR, LAND","bird, horse",1,LAND,horse,12,30,20,40,25,45,15,30,20,40,JourneyMounts,data/cobblemon/species_additions/generation4/yanmega.json
yveltal,"AIR, LAND","bird, horse",1,AIR,bird,55,80,67,82,55,85,50,80,30,92,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/yveltal.json
yveltal,"AIR, LAND","bird, horse",1,LAND,horse,25,40,55,65,10,25,15,25,20,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/yveltal.json
zapdos,"AIR, LAND","bird, horse",1,AIR,bird,150,170,85,100,90,100,50,80,65,85,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/zapdos.json
zapdos,"AIR, LAND","bird, horse",1,LAND,horse,10,20,70,90,30,60,25,50,40,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/zapdos.json
zarude,LAND,horse,1,LAND,horse,60,85,55,80,45,65,30,50,40,65,JourneyMounts,data/cobblemon/species_additions/generation8/zarude.json
zebstrika,LAND,horse,1,LAND,horse,35,75,65,85,45,65,35,45,25,45,Cobblemon-Fabric,data/cobblemon/species/generation5/zebstrika.json
zekrom,"AIR, LAND","jet, horse",1,AIR,jet,140,160,70,100,100,130,41,60,41,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/zekrom.json
zekrom,"AIR, LAND","jet, horse",1,LAND,horse,35,55,40,65,40,60,41,60,41,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/zekrom.json
zoroark,LAND,horse,1,LAND,horse,30,55,30,55,40,65,20,35,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/zoroark.json
